Jurisdiction,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Afghanistan,-,-,-,-,-,-,-,25,-,18,15,13,14,15.2,8,8,12,11
Albania,-,23,-,-,25,25,25,24,26,29,34,32,33,30.5,33,31,33,36
Algeria,-,-,-,-,-,26,27,28,31,30,32,28,29,29,34,36,36,36
American Samoa,-,-,-,-,-,-,-,-,-,45,44,45,41,38.8,-,-,52,-
Angola,-,-,17,-,17,18,20,20,22,22,19,19,19,20.1,22,23,19,15
Argentina,30,30,35,35,28,25,25,28,29,29,29,29,29,30,35,34,34,32
Armenia,-,25,25,-,-,30,31,29,29,30,29,27,26,26.3,34,36,37,35
Australia,87,87,83,85,86,88,88,88,87,86,87,87,87,88.4,85,81,80,79
Austria,75,76,77,78,78,80,84,87,86,81,81,79,79,77.9,69,69,72,76
Azerbaijan,-,17,15,20,20,18,19,22,24,21,19,23,24,23.8,27,28,29,29
Bahamas,-,-,-,-,-,-,-,-,-,-,-,-,-,72.9,71,71,71,-
Bahrain,-,-,-,-,-,61,58,58,57,50,54,51,49,51.1,51,48,49,51
Bangladesh,-,-,-,4,12,13,15,17,20,20,21,24,24,26.6,26,27,25,25
Barbados,-,-,-,-,-,-,73,69,67,69,70,74,78,77.7,76,75,74,-
Belarus,39,34,41,-,48,42,33,26,21,21,20,24,25,24.2,31,29,31,32
Belgium,54,53,61,66,71,76,75,74,73,71,73,71,71,74.9,75,75,76,77
Belize,-,-,-,-,-,45,38,37,35,30,29,-,-,-,-,-,-,-
Benin,-,-,-,-,-,-,32,29,25,27,31,29,28,29.7,36,36,39,37
Bhutan,-,-,-,-,-,-,-,-,60,50,52,50,57,57.4,63,63,65,65
Bolivia,28,25,27,20,22,23,22,25,27,29,30,27,28,27.6,34,34,35,34
Bosnia & Herzegovina,-,-,-,-,-,33,-,-,-,-,-,-,-,-,-,-,-,-
Bosnia and Herzegovina,-,-,-,-,-,-,31,29,-,33,32,30,32,32.1,42,42,39,38
Bosnia and Herzgegovina,-,-,-,-,-,-,-,-,29,-,-,-,-,-,-,-,-,-
Botswana,61,61,60,60,64,57,60,59,56,54,58,56,58,60.8,65,64,63,63
Brazil,40,41,39,40,40,39,39,37,33,35,35,37,37,37.7,43,42,43,38
Brunei,-,-,-,-,-,-,-,-,-,-,-,-,55,52.1,55,60,-,-
Brunei Darussalam,-,-,-,-,-,-,-,-,-,-,-,55,-,-,-,-,-,-
Bulgaria,29,33,35,39,40,39,41,40,40,41,36,38,36,33.3,41,41,43,41
Burkina Faso,-,-,30,-,-,-,-,34,32,29,35,36,31,30.5,38,38,38,38
Burundi,-,-,-,-,-,-,-,23,24,25,19,18,18,19.4,19,21,20,21
CÃ´te dÂ´Ivoire,-,-,-,-,-,-,-,-,21,-,20,21,22,22.3,29,27,32,32
CÃ´te-d'Ivoire,-,-,27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Cambodia,-,-,-,-,-,-,-,23,21,20,18,20,21,21.1,22,20,21,21
Cameroon,14,15,20,20,22,18,21,22,23,24,23,22,22,24.5,26,25,27,27
Canada,92,92,92,89,90,87,85,84,85,87,87,87,89,86.7,84,81,81,83
Cape Verde,-,-,-,-,-,-,-,-,-,49,51,51,51,55.2,60,58,57,55
Central African Republic,-,-,-,-,-,-,-,-,24,20,20,20,21,22.1,26,25,24,24
Chad,-,-,-,-,-,-,17,17,20,18,16,16,17,20.4,19,19,22,22
Chile,68,69,74,75,75,74,74,73,73,70,69,67,72,72.1,72,71,73,70
China,35,34,31,35,35,34,34,32,33,35,36,36,35,36.4,39,40,36,37
Colombia,22,29,32,38,36,37,38,40,39,38,38,37,35,34.5,36,36,37,37
Comoros,-,-,-,-,-,-,-,-,-,26,25,23,21,24.1,28,28,26,26
Congo  Republic,-,-,-,-,-,-,-,-,-,-,-,-,-,21.5,-,-,-,-
Congo Brazzaville,-,-,-,-,-,-,-,-,-,-,-,19,-,-,-,-,-,-
Congo Democratic Republic,-,-,-,-,-,-,-,21,20,19,-,-,-,-,-,-,-,-
Congo Republic,-,-,-,-,-,-,-,-,22,21,-,-,-,-,26,22,23,23
Congo Republic of,-,-,-,-,-,-,-,23,-,-,-,-,-,-,-,-,-,-
Congo Republic of the,-,-,-,-,-,22,-,-,-,-,-,-,-,-,-,-,-,-
Congo-Brazzaville,-,-,-,-,-,-,-,-,-,-,-,-,21,-,-,-,-,-
Congo. Democratic Republic,-,-,-,-,-,-,20,-,-,-,17,-,-,-,-,-,-,-
Congo. Republic,-,-,-,-,-,-,-,-,-,-,19,-,-,-,-,-,-,-
Congo. Republic of,-,-,-,-,-,-,23,-,-,-,-,-,-,-,-,-,-,-
Costa Rica,56,51,54,45,45,43,49,42,41,50,51,53,53,48,54,53,54,55
Cote d'Ivoire,-,-,-,-,27,21,-,19,-,21,-,-,-,-,-,-,-,-
Cote dÂ´Ivoire,-,-,-,24,-,-,20,-,-,-,-,-,-,-,-,-,-,-
Croatia,-,27,37,39,38,37,35,34,34,41,44,41,41,40.3,46,48,48,51
Cuba,-,-,-,-,-,46,37,38,35,42,43,44,37,41.6,48,46,46,47
Cyprus,-,-,-,-,-,61,54,57,56,53,64,66,63,62.7,66,63,63,61
Czech Republic,48,46,43,39,37,39,42,43,48,52,52,49,46,43.7,49,48,51,56
Democratic Republic of Congo,-,-,-,-,-,-,-,-,-,-,-,19,20,-,-,-,-,-
Democratic Republic of the Congo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,21,22,22,22
Democratic Republic of the Congo ,-,-,-,-,-,-,-,-,-,-,-,-,-,20.2,-,-,-,-
Denmark,100,100,98,95,95,95,95,95,95,94,93,93,93,93.9,90,91,92,91
Djibouti,-,-,-,-,-,-,-,-,-,29,30,28,32,29.8,36,36,34,34
Dominica,-,-,-,-,-,-,-,-,45,56,60,59,52,51.7,58,58,58,-
Dominican Rep,-,-,-,31,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Dominican Rep.,-,-,-,-,35,-,-,-,-,-,-,-,-,-,-,-,-,-
Dominican Republic,-,-,-,-,-,33,29,30,28,30,30,30,30,25.9,32,29,32,33
Ecuador,23,24,26,23,22,22,24,25,23,21,20,22,25,26.5,32,35,33,32
Egypt,29,33,31,36,34,33,32,34,33,29,28,28,31,28.6,32,32,37,36
El Salvador,36,39,41,36,34,37,42,42,40,40,39,34,36,34.2,38,38,39,39
Equatorial Guinea,-,-,-,-,-,-,-,19,21,19,17,18,19,19.1,20,19,-,-
Eritrea,-,-,-,-,-,-,26,26,29,28,26,26,26,24.8,25,20,18,18
Estonia,57,57,57,56,56,55,60,64,67,65,66,66,65,63.5,64,68,69,70
Ethiopia,-,-,32,-,35,25,23,22,24,24,26,27,27,26.9,33,33,33,33
Fiji,-,-,-,-,-,-,-,40,-,-,-,-,-,-,-,-,-,-
Finland,96,98,100,99,97,97,97,96,96,94,90,89,92,94,90,89,89,90
France,67,66,67,67,63,69,71,75,74,73,69,69,68,70.1,71,71,69,70
FYR Macedonia,-,-,-,-,-,-,-,-,-,33,-,38,41,39.4,-,-,-,-
Gabon,-,-,-,-,-,-,33,29,30,33,31,29,28,29.8,35,34,37,34
Gambia,-,-,-,-,-,25,28,27,25,23,19,29,32,35.1,34,28,29,28
Georgia,-,23,-,-,24,18,20,23,28,34,39,41,38,41.3,52,49,52,52
Germany,79,80,76,74,73,77,82,82,80,78,79,80,79,80.5,79,78,79,81
Ghana,33,33,35,34,39,33,36,35,33,37,39,39,41,38.5,45,46,48,47
Greece,49,49,49,42,42,43,43,43,44,46,47,38,35,33.9,36,40,43,46
Grenada,-,-,-,-,-,-,-,-,35,34,-,-,-,-,-,-,-,-
Guatemala,31,32,-,29,25,24,22,25,26,28,31,34,32,27.3,33,29,32,28
Guinea,-,-,-,-,-,-,-,-,19,19,16,18,20,21.1,24,24,25,25
Guinea-Bissau,-,-,-,-,-,-,-,-,-,22,19,19,21,22,25,19,19,17
Guyana,-,-,-,-,-,-,-,25,25,26,26,26,27,24.9,28,27,30,29
Haiti,-,-,-,-,22,15,15,18,18,16,14,18,22,18,19,19,19,17
Honduras,17,18,-,27,27,23,23,26,25,25,26,25,24,25.9,28,26,29,31
Hong Kong,78,77,77,79,82,80,80,83,83,83,81,82,84,83.9,77,75,74,75
Hungary,50,52,52,53,49,48,48,50,52,53,51,51,47,45.6,55,54,54,51
Iceland,93,92,91,92,94,96,95,97,96,92,89,87,85,82.7,82,78,79,79
India,29,29,28,27,27,28,28,29,33,35,34,34,33,31,36,36,38,38
Indonesia,20,17,17,19,19,19,20,22,24,23,26,28,28,30.3,32,32,34,36
Iran,-,-,-,-,-,30,29,29,27,25,23,18,22,27.2,28,25,27,27
Iraq,-,-,-,-,-,22,21,22,19,15,13,15,15,18,18,16,16,16
Ireland,82,77,72,75,69,75,75,74,74,75,77,80,80,75.4,69,72,74,75
Israel,71,68,66,76,73,70,64,63,59,61,60,61,61,58.1,60,61,60,61
Italy,46,47,46,55,52,53,48,50,49,52,48,43,39,39.1,42,43,43,44
Ivory Coast,31,26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Jamaica,38,38,-,-,40,38,33,36,37,33,31,30,33,33.4,38,38,38,41
Japan,58,60,64,71,71,70,69,73,76,75,73,77,78,80.4,74,74,76,75
Jordan,47,44,46,49,45,46,53,57,53,47,51,50,47,44.9,48,45,49,53
Kazakhstan,-,23,30,27,23,24,22,26,26,21,22,27,29,26.9,28,26,29,28
Kenya,25,20,21,20,19,19,21,21,22,21,21,22,21,22.4,27,27,25,25
Kiribati,-,-,-,-,-,-,-,-,-,33,31,28,32,30.8,-,-,-,-
North Korea,-,-,-,-,-,-,-,-,-,-,-,-,-,10.1,8,8,8,8
Kosovo,-,-,-,-,-,-,-,-,-,-,-,-,28,28.5,34,33,33,33
Kuwait,-,-,-,-,-,53,46,47,48,-,43,41,45,46.2,44,43,44,49
Kuweit,-,-,-,-,-,-,-,-,-,43,-,-,-,-,-,-,-,-
Kyrgyz Republic,-,22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kyrgyzstan,-,-,-,-,-,21,22,23,22,21,18,19,20,21.2,24,24,27,28
Laos,-,-,-,-,-,-,-,33,26,19,20,20,21,22.1,21,26,25,25
Latvia,27,34,34,34,37,38,40,42,47,48,50,45,43,41.9,49,53,55,55
Lebanon,-,-,-,-,-,30,27,31,36,30,30,25,25,24.9,30,28,27,28
Lesotho,-,-,-,-,-,-,-,34,32,33,32,33,35,35.2,45,49,49,44
Liberia,-,-,-,-,-,-,-,22,-,21,24,31,33,31.9,41,38,37,37
Libya,-,-,-,-,-,21,25,25,27,25,26,25,22,20.1,21,15,18,16
Lithuania,-,38,41,48,48,47,46,48,48,48,46,49,50,47.5,54,57,58,61
Luxembourg,87,88,86,87,90,87,84,85,86,84,83,82,85,85.1,80,80,82,81
Macau,-,-,-,-,-,-,-,-,66,57,54,53,50,51.1,-,-,-,-
Macedonia,-,33,-,-,-,23,27,27,27,-,-,-,-,-,43,44,-,-
Macedonia (Former Yugoslav Republic of),-,-,-,-,-,-,-,-,-,-,36,-,-,-,-,-,-,-
Madagascar,-,-,-,-,17,26,31,28,31,32,34,30,26,30.4,32,28,28,28
Malawi,41,41,41,32,29,28,28,28,27,27,28,33,34,30,37,37,33,31
Malaysia,53,51,48,50,49,52,50,51,50,51,51,45,44,43.1,49,50,52,50
Maldives,-,-,-,-,-,-,-,-,-,33,28,25,23,24.7,-,-,-,-
Mali,-,-,-,-,-,30,32,29,28,27,31,28,27,27.6,34,28,32,35
Malta,-,-,-,-,-,-,68,66,64,58,58,52,56,55.9,57,56,55,56
Mauritania,-,-,-,-,-,-,-,-,31,26,28,25,23,24.3,31,30,30,31
Mauritius,50,49,47,45,45,44,41,42,51,47,55,54,54,50.7,57,52,54,53
Mexico,33,34,33,37,36,36,36,35,33,35,36,33,31,29.7,34,34,35,35
Moldova,-,26,26,31,21,24,23,29,32,-,29,33,29,28.8,36,35,35,33
Moldovaa,-,-,-,-,-,-,-,-,-,28,-,-,-,-,-,-,-,-
Mongolia,-,43,-,-,-,-,30,30,28,30,30,27,27,26.8,36,38,39,39
Montenegro,-,-,-,-,-,-,-,-,-,33,34,39,37,39.7,41,44,42,44
Morocco,37,41,47,-,37,33,32,32,32,35,35,33,34,34.4,37,37,39,36
Mozambique,-,35,22,-,-,27,28,28,28,28,26,25,27,26.9,31,30,31,31
Myanmar,-,-,-,-,-,16,17,18,19,14,13,14,14,14.9,15,21,21,22
Namibia,53,53,54,54,57,47,41,43,41,45,45,45,44,44.3,48,48,49,53
Nepal,-,-,-,-,-,-,28,25,25,25,27,23,22,22.1,27,31,29,27
Netherlands,90,90,89,88,90,89,87,86,87,90,89,89,88,88.9,84,83,83,87
New Zealand,94,94,94,94,95,95,96,96,96,94,93,94,93,94.6,90,91,91,88
Nicaragua,30,31,-,24,25,26,27,26,26,26,25,25,25,25.3,29,28,28,27
Niger,-,-,-,-,-,-,22,24,23,26,28,29,26,25.4,33,34,35,34
Nigeria,19,16,12,10,16,14,16,19,22,22,27,25,24,24.5,27,25,27,26
Norway,90,89,91,86,85,88,89,89,88,87,79,86,86,89.9,85,86,86,87
Oman,-,-,-,-,-,63,61,63,54,47,55,55,53,48.3,47,47,45,45
Pakistan,27,22,-,23,26,25,21,21,22,24,25,24,23,24.7,27,28,29,30
Palestine,-,-,-,-,-,30,25,26,-,-,-,-,-,-,-,-,-,-
Panama,-,-,-,37,30,34,37,35,31,32,34,34,36,32.7,38,35,37,39
Papua New Guinea,-,-,-,-,-,21,26,23,24,20,20,21,21,21.7,25,25,25,25
Paraguay,15,20,-,-,17,16,19,21,26,24,24,21,22,22.2,25,24,24,27
Peru,45,45,44,41,40,37,35,35,33,35,36,37,35,33.9,38,38,38,36
Philippines,33,36,28,29,26,25,26,25,25,25,23,24,24,26.4,34,36,38,35
Poland,46,42,41,41,40,36,35,34,37,42,46,50,53,54.8,58,60,61,62
Portugal,65,67,64,63,63,66,63,65,66,65,61,58,60,61,63,62,63,63
Puerto Rico,-,-,-,-,-,-,-,-,-,-,58,58,58,55.9,63,62,63,-
Qatar,-,-,-,-,-,56,52,59,60,60,65,70,77,71.6,68,68,69,71
Romania,30,33,29,28,26,28,29,30,31,37,38,38,37,36.1,44,43,43,46
Russia,24,24,21,23,27,27,28,24,25,23,21,22,21,24.5,28,28,27,29
Rwanda,-,-,-,-,-,-,-,31,25,28,30,33,40,49.8,53,53,49,54
Saint Lucia,-,-,-,-,-,-,-,-,-,68,71,70,-,70.2,71,71,-,-
Saint Vincent and the Grenadines,-,-,-,-,-,-,-,-,-,61,65,64,-,57.6,62,62,67,-
Sao Tome & Principe,-,-,-,-,-,-,-,-,-,-,-,-,-,29.9,-,-,-,-
Sao Tome and Principe,-,-,-,-,-,-,-,-,-,27,27,28,30,-,42,42,42,42
Saudi Arabia,-,-,-,-,-,45,34,34,33,34,35,43,47,43.9,44,46,49,52
Senegal,33,34,35,29,31,32,30,32,33,36,34,30,29,28.7,36,41,43,44
Serbia,-,-,-,-,-,-,-,-,30,34,34,35,35,33.1,39,42,41,40
Serbia & Montenegro,-,-,-,-,-,23,-,-,-,-,-,-,-,-,-,-,-,-
Serbia and Montenegro,-,-,-,-,-,-,27,28,-,-,-,-,-,-,-,-,-,-
Seychelles,-,-,-,-,-,-,44,40,36,45,48,48,48,48.2,52,54,55,55
Sierra Leone,-,-,-,-,-,22,23,24,22,21,19,22,24,24.6,31,30,31,29
Singapore,91,91,91,92,93,94,93,94,94,93,92,92,93,91.7,87,86,84,85
Slovak Republic,39,37,35,37,37,-,-,-,-,-,-,-,-,-,-,-,-,-
Slovakia,-,-,-,-,-,37,40,43,47,49,50,45,43,39.7,46,47,50,51
Slovenia,-,60,55,52,60,59,60,61,64,66,67,66,64,58.7,61,57,58,60
Solomon Islands,-,-,-,-,-,-,-,-,-,28,29,28,28,27.1,-,-,-,-
Somalia,-,-,-,-,-,-,-,21,-,14,10,11,11,9.8,8,8,8,8
South Africa,52,50,50,48,48,44,46,45,46,51,49,47,45,40.8,43,42,44,44
South Korea,42,38,40,42,45,43,45,50,51,51,56,55,54,53.6,56,55,55,56
South Sudan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14,15,15
Spain,61,66,70,70,71,69,71,70,68,67,65,61,61,62.3,65,59,60,58
Sri Lanka,-,-,-,-,37,34,35,32,31,32,32,31,32,33,40,37,38,37
Sudan,-,-,-,-,-,23,22,21,20,18,16,15,16,15.6,13,11,11,12
Suriname,-,-,-,-,-,-,43,32,30,35,36,37,-,30.3,37,36,36,36
Swaziland,-,-,-,-,-,-,-,27,25,33,36,36,32,30.8,37,39,43,-
Sweden,95,94,94,90,93,93,92,92,92,93,93,92,92,93,88,89,87,89
Switzerland,89,89,86,84,85,88,91,91,91,90,90,90,87,88,86,85,86,86
Syria,-,-,-,-,-,34,34,34,29,24,21,26,25,25.6,26,17,20,18
Taijikistan,-,-,-,-,-,-,-,-,-,-,20,-,-,-,-,-,-,-
Taiwan,53,56,55,59,56,57,56,59,59,57,57,56,58,61.4,61,61,61,62
Tajikistan,-,-,-,-,-,18,20,21,22,21,-,20,21,22.7,22,22,23,26
Tanzania,19,19,25,22,27,25,28,29,29,32,30,26,27,29.5,35,33,31,30
Thailand,30,32,32,32,32,33,36,38,36,33,35,34,35,33.8,37,35,38,38
The FYR of Macedonia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,45,42
Timor-Leste,-,-,-,-,-,-,-,-,26,26,22,22,25,23.8,33,30,28,28
Togo,-,-,-,-,-,-,-,-,24,23,27,28,24,23.8,30,29,29,32
Tonga,-,-,-,-,-,-,-,-,-,17,24,30,30,31.4,-,-,-,-
Trinidad & Tobago,-,-,-,53,49,-,-,-,-,-,-,-,-,-,-,-,-,-
Trinidad and Tobago,-,-,-,-,-,46,42,38,32,34,36,36,36,31.7,39,38,38,39
Tunisia,50,50,52,53,48,49,50,49,46,42,44,42,43,37.6,41,41,40,38
Turkey,34,36,38,36,32,31,32,35,38,41,46,44,44,42.1,49,50,45,42
Turkmenistan,-,-,-,-,-,-,20,18,22,20,18,18,16,16,17,17,17,18
Uganda,26,22,23,19,21,22,26,25,27,28,26,25,25,24.3,29,26,26,25
Ukraine,28,26,15,21,24,23,22,26,28,27,25,22,24,23,26,25,26,27
United Arab Emirates,-,-,-,-,-,52,61,62,62,57,59,65,63,68.2,68,69,70,70
United Kingdom,87,86,87,83,87,87,86,86,86,84,77,77,76,77.8,74,76,78,81
United States,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,76
United States,75,-,-,-,-,-,-,-,-,-,-,75,71,71.4,73,73,74,-
Uruguay,43,44,-,51,51,55,62,59,64,67,69,67,69,70.4,72,73,73,74
USA,-,75,78,76,77,75,75,76,73,72,73,-,-,-,-,-,-,-
Uzbekistan,-,18,24,27,29,24,23,22,21,17,18,17,16,16.2,17,17,18,19
Vanuatu,-,-,-,-,-,-,-,-,-,31,29,32,36,35.3,-,-,-,-
Venezuela,23,26,27,28,25,24,23,23,23,20,19,19,20,18.9,19,20,19,17
Viet Nam,-,-,-,-,-,-,-,-,26,26,27,-,-,-,-,-,-,-
Vietnam,25,26,25,26,24,24,26,26,-,-,-,27,27,28.6,31,31,31,31
Yemen,-,-,-,-,-,26,24,27,26,25,23,21,22,20.8,23,18,19,18
Yugoslavia,30,20,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Zambia,35,35,34,26,26,25,26,26,26,26,28,30,30,32,37,38,38,38
Zimbabwe,42,41,30,29,27,23,23,26,24,21,18,22,24,22.3,20,21,21,21